Treatment,Cell Number,Avg_withDots,Avg_woDots,FractionOutside,Spreadsheet ,STD
Plus,2,439.586,221.797,0.504558835,Plus1,
Plus,4,444.804,262.451,0.59003741,Plus1,
Plus,5,491.132,320.979,0.653549351,Plus1,
Plus,6,445.682,322.748,0.724166558,Plus1,
Plus,7,513.35,254.186,0.495151456,Plus1,
Plus,8,457.735,299.186,0.653622729,Plus1,
Plus,9,455.485,301.667,0.662298429,Plus1,
Plus,2,431.584,230.298,0.53361107,Plus2,
Plus,3,400.487,212.695,0.531090897,Plus2,
Plus,4,435.364,232.965,0.535103959,Plus2,
Plus,5,435.018,239.35,0.550207118,Plus2,
Minus,1,952.844,765.497,0.803381246,Minus2,
Minus,2,996.413,805.164,0.80806252,Minus2,
Minus,3,1025.157,866.848,0.845575848,Minus2,
Minus,4,856.707,608.842,0.710677046,Minus2,
Minus,5,997.599,874.845,0.876950558,Minus2,
Minus,6,967.858,848.625,0.876807342,Minus2,
Minus,7,1450.764,1264.377,0.871524934,Minus2,
Minus,8,1027.145,763.426,0.743250466,Minus2,
Minus,1,1311.234,1204.175,0.918352483,Minus3,
Minus,2,1183.24,863.666,0.729916162,Minus3,
Minus,3,1281.278,1089.308,0.85017303,Minus3,
Minus,4,942.299,834.641,0.88574964,Minus3,
Minus,5,956.064,740.686,0.774724286,Minus3,